Sample,Substrate,Thickness (um),LY (%),GXT (%),SY43 (%),BiVaO4 (%),PG (%),PB (%),SFXC G (%),TiO2 (%),SY160 (%),SFXC P (%),P Gold (%)
Eren 1,Paper,4,0,0,0,10.23928215,0,0.488534397,0,0,0,0,0
Eren 2,Paper,4,0,0,0,5.008463606,2.001394006,0,0,0,0,0,0
Eren 3,Paper,4,0,0,0,0,5.341987019,2.096854718,0,0,0,0,0
Eren 4,Paper,4,0,0,0,5.041347016,0.986350503,0.259041546,0,0,0,0,0
Eren 5,Paper,4,0,0,0,5.1,1.08,0.94,0,0,0,0,0
F001H,Paper,4,15,0,0,10,0,0,0,5,0,0,0
F015A,Paper,4,0,0,0,6,0,0,,2,15,0,0
F023A,Paper,4,20,0,0,9,0,1,,4,2,0,0
F023B,Paper,4,19.5,0,0,9,0,0.5,,4,3,0,0
F024A,Paper,4,19.6,0,0,8.8,0,0,,3.9,1.5,1.5,0
F031D,Paper,4,0,0,5,9,1,0,1,4,0,0,0
F035A,Paper,4,0,0,0.5,9,0,0,,4,0,0,0
F036 0.5,Paper,4,8,0,2,8,0,0.5,1,1,0,0,0
F036 1,Paper,4,8,0,2,8,0,1,1,1,0,0,0
F036 2,Paper,4,8,0,2,8,0,2,1,1,0,0,0
F037B,Paper,4,20,0,,9,1,0,1,4,0,0,0
F044B,Paper,4,0,0,20,5,10,0,,0,0,0,0
F044C,Paper,4,0,0,20,,10,0,,5,0,0,0
F044D,Paper,4,0,0,20,5,10,0,,5,0,0,0
F045A,Paper,4,10,0,2,20,0,0,,0,0,0,0
F045B,Paper,4,0,0,2,20,0,0,,5,0,0,0
F045C,Paper,4,0,0,2,20,0,0,1,0,0,0,0
F045D,Paper,4,0,0,2,20,0,0.3,,0,0,0,0
F045E,Paper,4,10,0,2,20,0,0.3,1,0,0,0,0
F046C,Paper,4,0,30,,9,0,0,1,0,0,0,0
F047A,Paper,4,0,10,2,20,0,0,,0,0,0,0
F047B,Paper,4,0,10,2,20,0,0.1,1,0,0,0,0
F050C,Paper,4,0,0,5,16,0,0,3,0,0,0,10
F050D,Paper,4,0,0,5,16,0,0,5,0,0,0,8
F050E,Paper,4,4,0,3,16,0,0,3,0,0,0,8
F050F,Paper,4,10,0,0.5,5,0,0,3,0,0,0,10
F050G,Paper,4,2,0,3,16,0,0,3,0,0,0,8
F050H,Paper,4,6,0,3,16,0,0,3,0,0,0,8
F050I,Paper,4,8,0,3,16,0,0,3,0,0,0,8
F050J,Paper,4,10,0,3,16,0,0,3,0,0,0,8
F050K,Paper,4,0,0,3,16,0,0,1,0,0,0,8
F050L,Paper,4,0,0,3,16,0,0,5,0,0,0,8
F050M,Paper,4,0,0,3,10,0,0,8,0,0,0,8
F050N,Paper,4,0,0,3,12,0,0,3,0,0,0,8
F050O,Paper,4,0,0,3,18,0,0,3,0,0,0,8
F050P,Paper,4,0,0,3,20,0,0,3,0,0,0,8
F050Q,Paper,4,0,0,3,,0,0,3,0,0,0,8
F050R,Paper,4,0,0,1,16,0,0,3,0,0,0,8
F050S,Paper,4,0,0,5,16,0,0,3,0,0,0,8
F050T,Paper,4,0,0,8,16,0,0,3,0,0,0,8
F050U,Paper,4,0,0,10,16,0,0,3,0,0,0,8